Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Zona Administrativa|Denominación del Distrito|Código de Distrito|Código de Circuito Educativo|Sostenimiento|Régimen Escolar|Jurisdicción|Tipo de Educación|Modalidad|Jornada|Nivel|Etnia|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes|Estado|
02H00634|PASAGUA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|75|6|Activa|
02H00758|CENTRO DE FORMACION ARTESANAL OCHO DE SEPTIEMBRE|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Popular Permanente|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|37|5|Activa|
02H00621|OSCAR EFREN REYES|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|25|2|Activa|
02H00625|4 DE JULIO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|25|3|Activa|
02H00628|ABRAHAN PAREDES GAVIDIA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|13|1|Activa|
02H00635|LUIS ESCUDERO GARCIA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|14|1|Activa|
02H00643|ESCUELA ESPAÑA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|23|3|Activa|
02H00645|FREDDY CHAVEZ DEL POZO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|Terrestre|130|9|Activa|
02H00646|JOSE H. GONZALEZ|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|68|4|Activa|
02H00120|ANTONIO ANTE|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|26|2|Activa|
02H00125|ISIDRO AYORA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|24|1|Activa|
02H00647|MARIO PAREDES VACA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|5|1|Activa|
02H00650|ESTADOS UNIDOS DE NORTE AMERICA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|6|1|Activa|
02H00629|GUILLERMO LEON VELASCO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_a|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|85|9|Activa|
02H00620|ALFREDO NOBOA MONTENEGRO|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|1013|37|Activa|
02H00622|HONDURAS|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|100|6|Activa|
02H00652|ISAAC J. BARRERA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|9|1|Activa|
02H00659|CALUMA|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina y Nocturna|Educación Básica y Bachillerato|Mestiza|Terrestre|1284|63|Activa|
02H00701|SIN NOMBRE|2|BOLIVAR|206|CALUMA|20650|CALUMA|Zona 5|ECHEANDIA – CALUMA – LAS NAVES|02D04|02D04C02_b|Fiscal|SIERRA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|Terrestre|6|1|Activa|
